"experiment","n","k","rep","penalty_svp","penalty_pelt","method","time","detected"
"vary_k",2000,14,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,15
"vary_k",2000,14,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0120000000000005,15
"vary_k",2000,15,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,16
"vary_k",2000,15,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0110000000000028,16
"vary_k",2000,16,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,17
"vary_k",2000,16,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0110000000000028,17
"vary_k",2000,17,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,18
"vary_k",2000,17,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0109999999999992,18
"vary_k",2000,18,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,19
"vary_k",2000,18,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,19
"vary_k",2000,19,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,20
"vary_k",2000,19,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,20
"vary_k",2000,20,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,21
"vary_k",2000,20,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,21
"vary_k",2000,21,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,22
"vary_k",2000,21,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00999999999999801,22
"vary_k",2000,22,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,23
"vary_k",2000,22,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,23
"vary_k",2000,23,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,24
"vary_k",2000,23,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,24
"vary_k",2000,24,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,25
"vary_k",2000,24,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,25
"vary_k",2000,25,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,26
"vary_k",2000,25,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,26
"vary_k",2000,26,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,27
"vary_k",2000,26,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,27
"vary_k",2000,27,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,28
"vary_k",2000,27,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,28
"vary_k",2000,28,3,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,29
"vary_k",2000,28,3,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,29
"vary_k",2000,29,3,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,30
