"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"no_change",545,0,8,"student","SVP Wilcoxon",0.00300000000000011,1,273,545,NA
"no_change",702,0,8,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,8,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,8,"student","SVP Wilcoxon",0.0170000000000012,1,581.5,1162,NA
"no_change",1495,0,8,"student","SVP Wilcoxon",0.032,1,748,1495,NA
"no_change",1923,0,8,"student","SVP Wilcoxon",0.0540000000000003,1,962,1923,NA
"no_change",2474,0,8,"student","SVP Wilcoxon",0.093,1,1237.5,2474,NA
"no_change",3183,0,8,"student","SVP Wilcoxon",0.161999999999999,1,1592,3183,NA
"no_change",4096,0,8,"student","SVP Wilcoxon",0.259,1,2048.5,4096,NA
"no_change",256,0,9,"student","SVP Wilcoxon",0.000999999999999446,1,128.5,256,NA
"no_change",329,0,9,"student","SVP Wilcoxon",0.000999999999999446,1,165,329,NA
"no_change",424,0,9,"student","SVP Wilcoxon",0.00199999999999889,1,212.5,424,NA
"no_change",545,0,9,"student","SVP Wilcoxon",0.00300000000000011,1,273,545,NA
"no_change",702,0,9,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,9,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,9,"student","SVP Wilcoxon",0.0180000000000007,1,581.5,1162,NA
"no_change",1495,0,9,"student","SVP Wilcoxon",0.0299999999999994,1,748,1495,NA
"no_change",1923,0,9,"student","SVP Wilcoxon",0.0510000000000002,1,962,1923,NA
"no_change",2474,0,9,"student","SVP Wilcoxon",0.0879999999999992,1,1237.5,2474,NA
"no_change",3183,0,9,"student","SVP Wilcoxon",0.153,1,1592,3183,NA
"no_change",4096,0,9,"student","SVP Wilcoxon",0.260999999999999,1,2048.5,4096,NA
"no_change",256,0,10,"student","SVP Wilcoxon",0.000999999999999446,1,128.5,256,NA
"no_change",329,0,10,"student","SVP Wilcoxon",0.000999999999999446,1,165,329,NA
"no_change",424,0,10,"student","SVP Wilcoxon",0.00200000000000067,1,212.5,424,NA
"no_change",545,0,10,"student","SVP Wilcoxon",0.00400000000000134,1,273,545,NA
"no_change",702,0,10,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,10,"student","SVP Wilcoxon",0.381,2,451.519379844961,890,NA
"no_change",1162,0,10,"student","SVP Wilcoxon",0.0170000000000012,1,581.5,1162,NA
"no_change",1495,0,10,"student","SVP Wilcoxon",0.0300000000000011,1,748,1495,NA
"no_change",1923,0,10,"student","SVP Wilcoxon",0.0510000000000002,1,962,1923,NA
"no_change",2474,0,10,"student","SVP Wilcoxon",0.0940000000000012,1,1237.5,2474,NA
"no_change",3183,0,10,"student","SVP Wilcoxon",0.157,1,1592,3183,NA
"no_change",4096,0,10,"student","SVP Wilcoxon",81.582,2,2035.80126953125,3940,NA
"no_change",256,0,1,"student","SVP Median-Mood",0.000999999999990564,1,128.5,256,NA
"no_change",329,0,1,"student","SVP Median-Mood",0.00300000000000011,1,165,329,NA
"no_change",424,0,1,"student","SVP Median-Mood",0.00199999999999534,1,212.5,424,NA
"no_change",545,0,1,"student","SVP Median-Mood",0.00199999999999534,1,273,545,NA
"no_change",702,0,1,"student","SVP Median-Mood",0.00300000000000011,1,351.5,702,NA
"no_change",903,0,1,"student","SVP Median-Mood",0.00499999999999545,1,452,903,NA
"no_change",1162,0,1,"student","SVP Median-Mood",0.00799999999999557,1,581.5,1162,NA
"no_change",1495,0,1,"student","SVP Median-Mood",0.01400000000001,1,748,1495,NA
"no_change",1923,0,1,"student","SVP Median-Mood",0.0229999999999961,1,962,1923,NA
"no_change",2474,0,1,"student","SVP Median-Mood",0.0369999999999919,1,1237.5,2474,NA
"no_change",3183,0,1,"student","SVP Median-Mood",0.0660000000000025,1,1592,3183,NA
"no_change",4096,0,1,"student","SVP Median-Mood",0.0900000000000034,1,2048.5,4096,NA
"no_change",256,0,2,"student","SVP Median-Mood",0.00100000000000477,1,128.5,256,NA
"no_change",329,0,2,"student","SVP Median-Mood",0.00100000000000477,1,165,329,NA
"no_change",424,0,2,"student","SVP Median-Mood",0.00100000000000477,1,212.5,424,NA
"no_change",545,0,2,"student","SVP Median-Mood",0.00199999999999534,1,273,545,NA
"no_change",702,0,2,"student","SVP Median-Mood",0.0029999999999859,1,351.5,702,NA
"no_change",903,0,2,"student","SVP Median-Mood",0.00499999999999545,1,452,903,NA
"no_change",1162,0,2,"student","SVP Median-Mood",0.007000000000005,1,581.5,1162,NA
"no_change",1495,0,2,"student","SVP Median-Mood",0.0139999999999958,1,748,1495,NA
"no_change",1923,0,2,"student","SVP Median-Mood",0.0210000000000008,1,962,1923,NA
"no_change",2474,0,2,"student","SVP Median-Mood",0.0330000000000013,1,1237.5,2474,NA
"no_change",3183,0,2,"student","SVP Median-Mood",0.0590000000000117,1,1592,3183,NA
"no_change",4096,0,2,"student","SVP Median-Mood",0.0969999999999942,1,2048.5,4096,NA
"no_change",256,0,3,"student","SVP Median-Mood",0.00100000000000477,1,128.5,256,NA
"no_change",329,0,3,"student","SVP Median-Mood",0.00100000000000477,1,165,329,NA
"no_change",424,0,3,"student","SVP Median-Mood",0.000999999999990564,1,212.5,424,NA
"no_change",545,0,3,"student","SVP Median-Mood",0.00200000000000955,1,273,545,NA
"no_change",702,0,3,"student","SVP Median-Mood",0.00300000000000011,1,351.5,702,NA
"no_change",903,0,3,"student","SVP Median-Mood",0.00500000000000966,1,452,903,NA
"no_change",1162,0,3,"student","SVP Median-Mood",0.00799999999999557,1,581.5,1162,NA
"no_change",1495,0,3,"student","SVP Median-Mood",0.0120000000000005,1,748,1495,NA
"no_change",1923,0,3,"student","SVP Median-Mood",0.0220000000000056,1,962,1923,NA
"no_change",2474,0,3,"student","SVP Median-Mood",0.0330000000000013,1,1237.5,2474,NA
"no_change",3183,0,3,"student","SVP Median-Mood",0.0600000000000023,1,1592,3183,NA
"no_change",4096,0,3,"student","SVP Median-Mood",0.0919999999999987,1,2048.5,4096,NA
"no_change",256,0,4,"student","SVP Median-Mood",0,1,128.5,256,NA
"no_change",329,0,4,"student","SVP Median-Mood",0,1,165,329,NA
"no_change",424,0,4,"student","SVP Median-Mood",0.00100000000000477,1,212.5,424,NA
"no_change",545,0,4,"student","SVP Median-Mood",0.00199999999999534,1,273,545,NA
"no_change",702,0,4,"student","SVP Median-Mood",0.00300000000000011,1,351.5,702,NA
"no_change",903,0,4,"student","SVP Median-Mood",0.00500000000000966,1,452,903,NA
"no_change",1162,0,4,"student","SVP Median-Mood",0.00900000000000034,1,581.5,1162,NA
"no_change",1495,0,4,"student","SVP Median-Mood",0.0120000000000005,1,748,1495,NA
"no_change",1923,0,4,"student","SVP Median-Mood",0.0220000000000056,1,962,1923,NA
"no_change",2474,0,4,"student","SVP Median-Mood",0.0349999999999966,1,1237.5,2474,NA
"no_change",3183,0,4,"student","SVP Median-Mood",0.0600000000000023,1,1592,3183,NA
"no_change",4096,0,4,"student","SVP Median-Mood",0.0970000000000084,1,2048.5,4096,NA
"no_change",256,0,5,"student","SVP Median-Mood",0,1,128.5,256,NA
