"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"updown",0.7,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.285714285714286,0.25,0.266666666666667,0,0.159992566973706,7
"updown",0.7,1,"RFPOP (null-matched c=2.75)",0.5,0.125,0.2,0,0.114498114845482,2
"rand1",0.7,1,"PELT",0.0394736842105263,0.375,0.0714285714285714,0,5.11816504009079,76
"rand1",0.7,1,"RFPOP paper",0.142857142857143,0.125,0.133333333333333,0,0.12749528133473,7
"rand1",0.7,1,"SVP MedianMood",0.333333333333333,0.125,0.181818181818182,0,0.20063819637014,3
"rand1",0.7,1,"SVP Wilcoxon",0.285714285714286,0.25,0.266666666666667,0,0.0665943504346984,7
"rand1",0.7,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.428571428571429,0.375,0.4,0,0.0724775466851301,7
"rand1",0.7,1,"RFPOP (null-matched c=2.75)",0.25,0.125,0.166666666666667,0,0.146323879530688,4
"none",0.8,1,"PELT",0.0153846153846154,1,0.0303030303030303,0,5.64768718823074,65
"none",0.8,1,"RFPOP paper",1,1,1,1,0.00174649224181944,1
"none",0.8,1,"SVP MedianMood",1,1,1,1,0.00101022487839495,1
"none",0.8,1,"SVP Wilcoxon",1,1,1,1,0.00101022487839495,1
"none",0.8,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.00101022487839495,1
"none",0.8,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00174649224181944,1
"up",0.8,1,"PELT",0.032258064516129,0.375,0.0594059405940594,0,11.3215582292836,93
"up",0.8,1,"RFPOP paper",0.25,0.125,0.166666666666667,0,0.244968044528895,4
"up",0.8,1,"SVP MedianMood",0.25,0.125,0.166666666666667,0,0.439260264737724,4
"up",0.8,1,"SVP Wilcoxon",0.25,0.25,0.25,1,0.256553475304489,8
"up",0.8,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.25,0.25,0.25,1,0.24308205048776,8
"up",0.8,1,"RFPOP (null-matched c=2.75)",0.25,0.125,0.166666666666667,0,0.244968044528895,4
"updown",0.8,1,"PELT",0.0135135135135135,0.125,0.024390243902439,0,8.6772313398292,74
"updown",0.8,1,"RFPOP paper",0.333333333333333,0.25,0.285714285714286,0,0.10454501384204,6
"updown",0.8,1,"SVP MedianMood",0.5,0.125,0.2,0,0.239303066736972,2
"updown",0.8,1,"SVP Wilcoxon",0.125,0.125,0.125,1,0.207552011659221,8
"updown",0.8,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.5,0.5,0.5,1,0.141590356979444,8
"updown",0.8,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.160337320754721,1
"rand1",0.8,1,"PELT",0.0666666666666667,0.625,0.120481927710843,0,5.14915132663006,75
"rand1",0.8,1,"RFPOP paper",0.833333333333333,0.625,0.714285714285714,0,0.0423636923124226,6
"rand1",0.8,1,"SVP MedianMood",0.666666666666667,0.25,0.363636363636364,0,0.211750299137383,3
"rand1",0.8,1,"SVP Wilcoxon",0.5,0.5,0.5,1,0.11396330666926,8
"rand1",0.8,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.625,0.625,0.625,1,0.0757430150280172,8
"rand1",0.8,1,"RFPOP (null-matched c=2.75)",0.833333333333333,0.625,0.714285714285714,0,0.0423636923124226,6
"none",0.9,1,"PELT",0.0161290322580645,1,0.0317460317460317,0,2.57734520720755,62
"none",0.9,1,"RFPOP paper",1,1,1,1,0.000520014344872922,1
"none",0.9,1,"SVP MedianMood",1,1,1,1,0.00298767552113103,1
"none",0.9,1,"SVP Wilcoxon",1,1,1,1,0.00298767552113103,1
"none",0.9,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.00298767552113103,1
"none",0.9,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.000520014344872922,1
"up",0.9,1,"PELT",0.04,0.375,0.072289156626506,0,4.01097556989502,75
"up",0.9,1,"RFPOP paper",0.75,0.375,0.5,0,0.320402564341612,4
"up",0.9,1,"SVP MedianMood",0.75,0.375,0.5,0,0.295441580591835,4
"up",0.9,1,"SVP Wilcoxon",0.5,0.5,0.5,1,0.10827150524409,8
"up",0.9,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.375,0.375,0.375,1,0.139733173667653,8
"up",0.9,1,"RFPOP (null-matched c=2.75)",0.75,0.375,0.5,0,0.320402564341612,4
"updown",0.9,1,"PELT",0.0459770114942529,0.5,0.0842105263157895,0,4.59008697687195,87
"updown",0.9,1,"RFPOP paper",0.5,0.5,0.5,1,0.0918111443987325,8
"updown",0.9,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.217311256178801,1
"updown",0.9,1,"SVP Wilcoxon",0.375,0.375,0.375,1,0.130571982926317,8
"updown",0.9,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.5,0.5,0.5,1,0.0878861170540443,8
"updown",0.9,1,"RFPOP (null-matched c=2.75)",0.5,0.375,0.428571428571429,0,0.114754107897106,6
"rand1",0.9,1,"PELT",0.038961038961039,0.375,0.0705882352941176,0,13.0372527329283,77
"rand1",0.9,1,"RFPOP paper",0.5,0.375,0.428571428571429,0,0.073061432885049,6
"rand1",0.9,1,"SVP MedianMood",0.25,0.125,0.166666666666667,0,0.46202038458148,4
"rand1",0.9,1,"SVP Wilcoxon",0.571428571428571,0.5,0.533333333333333,0,0.160520742825413,7
"rand1",0.9,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.428571428571429,0.375,0.4,0,0.195076160793231,7
"rand1",0.9,1,"RFPOP (null-matched c=2.75)",0.5,0.375,0.428571428571429,0,0.073061432885049,6
"none",1,1,"PELT",0.0113636363636364,1,0.0224719101123595,0,9.22876058085159,88
"none",1,1,"RFPOP paper",1,1,1,1,0.00216451002076692,1
"none",1,1,"SVP MedianMood",1,1,1,1,0.00330148349069716,1
"none",1,1,"SVP Wilcoxon",1,1,1,1,0.00330148349069716,1
"none",1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.00330148349069716,1
"none",1,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00216451002076692,1
"up",1,1,"PELT",0.04,0.375,0.072289156626506,0,2.45971123521779,75
"up",1,1,"RFPOP paper",0.4,0.25,0.307692307692308,0,0.274737251762167,5
"up",1,1,"SVP MedianMood",0.5,0.25,0.333333333333333,0,0.465753714503305,4
"up",1,1,"SVP Wilcoxon",0.75,0.75,0.75,1,0.081349743116179,8
"up",1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.75,0.75,0.75,1,0.081349743116179,8
"up",1,1,"RFPOP (null-matched c=2.75)",1,0.5,0.666666666666667,0,0.272927017797323,4
"updown",1,1,"PELT",0.0506329113924051,0.5,0.0919540229885057,0,4.0957294546403,79
"updown",1,1,"RFPOP paper",0.428571428571429,0.375,0.4,0,0.187709999589713,7
"updown",1,1,"SVP MedianMood",0.5,0.125,0.2,0,0.288172273890464,2
"updown",1,1,"SVP Wilcoxon",0.375,0.375,0.375,1,0.118469560987977,8
"updown",1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.375,0.375,0.375,1,0.0915141173358113,8
"updown",1,1,"RFPOP (null-matched c=2.75)",0.5,0.125,0.2,0,0.221555654255412,2
"rand1",1,1,"PELT",0.0576923076923077,0.375,0.1,0,2.84109645915585,52
"rand1",1,1,"RFPOP paper",0.666666666666667,0.5,0.571428571428572,0,0.0362289602862411,6
"rand1",1,1,"SVP MedianMood",0.75,0.375,0.5,0,0.235800879511177,4
"rand1",1,1,"SVP Wilcoxon",0.25,0.25,0.25,1,0.158897678509592,8
"rand1",1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.571428571428571,0.5,0.533333333333333,0,0.0427333236878882,7
"rand1",1,1,"RFPOP (null-matched c=2.75)",0.666666666666667,0.5,0.571428571428572,0,0.0362289602862411,6
"none",1.1,1,"PELT",0.0140845070422535,1,0.0277777777777778,0,3.02125311058533,71
"none",1.1,1,"RFPOP paper",1,1,1,1,0.00586799443347796,1
"none",1.1,1,"SVP MedianMood",1,1,1,1,0.0200841862690696,1
"none",1.1,1,"SVP Wilcoxon",1,1,1,1,0.0200841862690696,1
"none",1.1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.0200841862690696,1
"none",1.1,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00586799443347796,1
"up",1.1,1,"PELT",0.0657894736842105,0.625,0.119047619047619,0,5.67154701034581,76
"up",1.1,1,"RFPOP paper",0.75,0.375,0.5,0,0.356048417899626,4
"up",1.1,1,"SVP MedianMood",0.4,0.25,0.307692307692308,0,0.356192916741806,5
"up",1.1,1,"SVP Wilcoxon",0.5,0.5,0.5,1,0.146827509023756,8
"up",1.1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.875,0.875,0.875,1,0.0816281433914913,8
"up",1.1,1,"RFPOP (null-matched c=2.75)",0.75,0.375,0.5,0,0.356048417899626,4
"updown",1.1,1,"PELT",0.0510204081632653,0.625,0.0943396226415094,0,5.47164990044007,98
"updown",1.1,1,"RFPOP paper",0.333333333333333,0.375,0.352941176470588,0,0.135548892052869,9
"updown",1.1,1,"SVP MedianMood",0.333333333333333,0.125,0.181818181818182,0,0.282233283751195,3
"updown",1.1,1,"SVP Wilcoxon",0.5,0.5,0.5,1,0.133929495530656,8
"updown",1.1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.375,0.375,0.375,1,0.140265949625678,8
"updown",1.1,1,"RFPOP (null-matched c=2.75)",0.5,0.5,0.5,1,0.0605104389900255,8
"rand1",1.1,1,"PELT",0.0666666666666667,0.625,0.120481927710843,0,4.48964439809102,75
"rand1",1.1,1,"RFPOP paper",0.666666666666667,0.5,0.571428571428572,0,0.107056770319154,6
"rand1",1.1,1,"SVP MedianMood",0.75,0.375,0.5,0,0.265527467445321,4
"rand1",1.1,1,"SVP Wilcoxon",0.5,0.5,0.5,1,0.207152090313133,8
"rand1",1.1,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.571428571428571,0.5,0.533333333333333,0,0.112220087594724,7
"rand1",1.1,1,"RFPOP (null-matched c=2.75)",0.666666666666667,0.5,0.571428571428572,0,0.107056770319154,6
"none",1.2,1,"PELT",0.0126582278481013,1,0.025,0,2.28157245242253,79
"none",1.2,1,"RFPOP paper",1,1,1,1,0.00279886387519068,1
"none",1.2,1,"SVP MedianMood",1,1,1,1,8.83044902534826e-05,1
"none",1.2,1,"SVP Wilcoxon",1,1,1,1,8.83044902534826e-05,1
"none",1.2,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,8.83044902534826e-05,1
"none",1.2,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00279886387519068,1
"up",1.2,1,"PELT",0.0506329113924051,0.5,0.0919540229885057,0,4.32652476663812,79
"up",1.2,1,"RFPOP paper",0.5,0.25,0.333333333333333,0,0.61859945131149,4
