"pattern","jump","method","F1_new","Precision_new","Recall_new","CorrectNumCP_new","MSE_new","NumSegments_new","F1_old","Precision_old","Recall_old","CorrectNumCP_old","MSE_old","NumSegments_old","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"rand1",1.4,"PELT inflated",0.237111111111111,0.523,0.158571428571429,0,0.847145808695992,2.38,0.237111111111111,0.523,0.158571428571429,0,0.847145808695992,2.38,0,0,0,0,0,0
"rand1",1.4,"SVP AR1Focus",0.452656565656566,0.704166666666667,0.342857142857143,0,0.523804993777101,4.29,0.0977777777777778,0.36,0.0571428571428571,0,1.05616169777824,1.57,0.354878787878788,0.344166666666667,0.285714285714286,0,-0.532356704001141,2.72
"rand1",1.6,"DeCAFS AR1",0.179388888888889,0.555,0.11,0,1.24628439423859,1.78,0.590909479409479,0.954,0.448571428571429,0,0.547040257314092,4.22,-0.41152059052059,-0.399,-0.338571428571429,0,0.699244136924503,-2.44
"rand1",1.6,"PELT AR1 approximate",0.59904045954046,0.638650793650794,0.574285714285714,0.34,0.293160446695347,7.36,0.0504444444444445,0.145,0.0314285714285714,0,1.4214241024623,1.28,0.548596015096015,0.493650793650794,0.542857142857143,0.34,-1.12826365576695,6.08
"rand1",1.6,"PELT inflated",0.429050505050505,0.807333333333333,0.301428571428571,0,0.767235936275733,3.45,0.429050505050505,0.807333333333333,0.301428571428571,0,0.767235936275733,3.45,0,0,0,0,0,0
"rand1",1.6,"SVP AR1Focus",0.610676767676768,0.802833333333333,0.5,0,0.410056342505178,5.26,0.2045,0.51,0.13,0,1.10532638470808,2.37,0.406176767676768,0.292833333333333,0.37,0,-0.695270042202898,2.89
"rand1",1.8,"DeCAFS AR1",0.317888888888889,0.78,0.205714285714286,0,1.29200408413365,2.46,0.732242812742813,0.987333333333333,0.6,0,0.353757465810941,5.25,-0.414353923853924,-0.207333333333333,-0.394285714285714,0,0.93824661832271,-2.79
"rand1",1.8,"PELT AR1 approximate",0.63694444281209,0.649761904761905,0.635714285714286,0.3,0.254137857709075,7.96,0.11889898989899,0.269166666666667,0.0785714285714286,0,1.62459913905436,1.72,0.5180454529131,0.380595238095238,0.557142857142857,0.3,-1.37046128134528,6.24
"rand1",1.8,"PELT inflated",0.596868686868687,0.9045,0.464285714285714,0,0.605789461719563,4.53,0.596868686868687,0.9045,0.464285714285714,0,0.605789461719563,4.53,0,0,0,0,0,0
"rand1",1.8,"SVP AR1Focus",0.745909090909091,0.913333333333333,0.632857142857143,0,0.254675796288079,5.82,0.315388888888889,0.688333333333333,0.207142857142857,0,1.14083722792012,2.99,0.430520202020202,0.225,0.425714285714286,0,-0.88616143163204,2.83
"rand1",2,"DeCAFS AR1",0.529,0.94,0.385714285714286,0,1.01199890333805,3.7,0.812324009324009,0.996666666666667,0.69,0,0.194161575241718,5.85,-0.283324009324009,-0.0566666666666668,-0.304285714285714,0,0.81783732809633,-2.15
"rand1",2,"PELT AR1 approximate",0.641345399698341,0.604305555555556,0.688571428571429,0.21,0.201150814599508,9.07,0.319424242424242,0.6355,0.218571428571429,0,1.48761605990354,2.73,0.321921157274098,-0.0311944444444444,0.47,0.21,-1.28646524530403,6.34
"rand1",2,"PELT inflated",0.700232323232323,0.943666666666667,0.571428571428571,0,0.460903424775916,5.22,0.700232323232323,0.943666666666667,0.571428571428571,0,0.460903424775916,5.22,0,0,0,0,0,0
"rand1",2,"SVP AR1Focus",0.798601398601399,0.962833333333333,0.682857142857143,0,0.19564604095262,5.96,0.43540404040404,0.7625,0.312857142857143,0,1.0670726893982,3.83,0.363197358197358,0.200333333333333,0.37,0,-0.87142664844558,2.13
"rand1",2.2,"DeCAFS AR1",0.727661616161616,1,0.588571428571429,0,0.519829819240915,5.12,0.82974358974359,0.993,0.712857142857143,0,0.136589330952756,6.03,-0.102081973581974,0.00700000000000001,-0.124285714285714,0,0.383240488288159,-0.91
"rand1",2.2,"PELT AR1 approximate",0.621914799253035,0.558414502164502,0.705714285714286,0.05,0.172305452371504,9.93,0.495881007881008,0.79697619047619,0.372857142857143,0.01,1.15196175190615,4.15,0.126033791372027,-0.238561688311688,0.332857142857143,0.04,-0.979656299534649,5.78
"rand1",2.2,"PELT inflated",0.770262626262626,0.962666666666667,0.648571428571429,0,0.298687256270811,5.72,0.770262626262626,0.962666666666667,0.648571428571429,0,0.298687256270811,5.72,0,0,0,0,0,0
"rand1",2.2,"SVP AR1Focus",0.816025641025641,0.978333333333333,0.7,0,0.162681103949275,6.01,0.544656565656566,0.763,0.431428571428571,0,0.848345907049358,4.82,0.271369075369075,0.215333333333333,0.268571428571429,0,-0.685664803100083,1.19
"rand1",2.4,"DeCAFS AR1",0.80660606060606,1,0.681428571428571,0,0.272177227028987,5.77,0.832051282051282,0.996666666666667,0.714285714285714,0,0.154309361327649,6.02,-0.0254452214452214,0.0033333333333333,-0.0328571428571429,0,0.117867865701338,-0.25
"rand1",2.4,"PELT AR1 approximate",0.609743661567191,0.535084776334776,0.712857142857143,0.01,0.186302733610038,10.41,0.648385281385281,0.830809523809524,0.551428571428571,0.11,0.751025112516629,5.66,-0.0386416198180904,-0.295724747474747,0.161428571428571,-0.1,-0.564722378906591,4.75
"rand1",2.4,"PELT inflated",0.811170163170163,0.977333333333333,0.694285714285714,0,0.209365092174028,5.96,0.811170163170163,0.977333333333333,0.694285714285714,0,0.209365092174028,5.96,0,0,0,0,0,0
"rand1",2.4,"SVP AR1Focus",0.826282051282051,0.988666666666667,0.71,0,0.169516649853093,6.03,0.713191919191919,0.895666666666667,0.597142857142857,0,0.496459842811143,5.56,0.113090132090132,0.0930000000000001,0.112857142857143,0,-0.32694319295805,0.470000000000001
"rand1",2.6,"DeCAFS AR1",0.833333333333333,1,0.714285714285714,0,0.160773921285316,6,0.831410256410256,0.995,0.714285714285714,0,0.16184100295121,6.03,0.00192307692307692,0.005,0,0,-0.00106708166589348,-0.0300000000000002
"rand1",2.6,"PELT AR1 approximate",0.59608832129343,0.513823232323232,0.711428571428571,0,0.182600183048145,10.73,0.711879453879454,0.804059523809524,0.648571428571429,0.17,0.458050162676733,6.71,-0.115791132586024,-0.290236291486291,0.0628571428571428,-0.17,-0.275449979628588,4.02
"rand1",2.6,"PELT inflated",0.821666666666667,0.986,0.704285714285714,0,0.188749908959731,6,0.821666666666667,0.986,0.704285714285714,0,0.188749908959731,6,0,0,0,0,0,0
"rand1",2.6,"SVP AR1Focus",0.831153846153846,0.994333333333333,0.714285714285714,0,0.171714789060946,6.03,0.809393939393939,0.9735,0.692857142857143,0,0.222390814995328,5.97,0.0217599067599068,0.0208333333333333,0.0214285714285715,0,-0.0506760259343821,0.0600000000000005
"rand1",2.8,"DeCAFS AR1",0.831666666666667,0.998,0.712857142857143,0,0.176158488565492,6,0.830384615384615,0.994666666666667,0.712857142857143,0,0.177445634010386,6.02,0.00128205128205128,0.0033333333333333,0,0,-0.00128714544489456,-0.0199999999999996
"rand1",2.8,"PELT AR1 approximate",0.591579377364981,0.505058275058275,0.715714285714286,0,0.194095975851627,10.95,0.703526806526807,0.729666666666667,0.687142857142857,0.38,0.311244789197851,7.7,-0.111947429161826,-0.224608391608392,0.0285714285714286,-0.38,-0.117148813346224,3.25
