"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",2.1,1,"PELT AR1 approximate",0.1,1,0.181818181818182,0,NA,0.56667950028856,10
"none",2.1,1,"DeCAFS AR1",1,1,1,1,NA,0.0035963820772681,1
"none",2.1,1,"SVP AR1Focus",1,1,1,1,NA,0.0035963820772681,1
"none",2.1,1,"SVP AR1Focus multiscale",0.0769230769230769,1,0.142857142857143,0,NA,0.778282380466282,13
"up",2.1,1,"PELT inflated",0.666666666666667,0.5,0.571428571428572,0,NA,0.976887919127995,6
"up",2.1,1,"PELT AR1 approximate",0.571428571428571,0.5,0.533333333333333,0,NA,0.794518995553563,7
"up",2.1,1,"DeCAFS AR1",0.571428571428571,0.5,0.533333333333333,0,NA,0.803249625939854,7
"up",2.1,1,"SVP AR1Focus",0.75,0.375,0.5,0,NA,1.90024368092056,4
"up",2.1,1,"SVP AR1Focus multiscale",0.307692307692308,0.5,0.380952380952381,0,NA,0.801349988362218,13
"updown",2.1,1,"PELT inflated",0.75,0.375,0.5,0,NA,1.19502136034051,4
"updown",2.1,1,"PELT AR1 approximate",0.7,0.875,0.777777777777778,0,NA,0.639066255827048,10
"updown",2.1,1,"DeCAFS AR1",0.714285714285714,0.625,0.666666666666667,0,NA,0.909865687613951,7
"updown",2.1,1,"SVP AR1Focus",0.75,0.375,0.5,0,NA,1.3567017764987,4
"updown",2.1,1,"SVP AR1Focus multiscale",0.571428571428571,1,0.727272727272727,0,NA,0.913716412880177,14
"rand1",2.1,1,"PELT inflated",0.666666666666667,0.5,0.571428571428572,0,NA,0.901208107861579,6
"rand1",2.1,1,"PELT AR1 approximate",0.7,0.875,0.777777777777778,0,NA,0.367123666616334,10
"rand1",2.1,1,"DeCAFS AR1",1,0.75,0.857142857142857,0,NA,0.169652160709997,6
"rand1",2.1,1,"SVP AR1Focus",1,0.75,0.857142857142857,0,NA,0.229109796975035,6
"rand1",2.1,1,"SVP AR1Focus multiscale",0.5,0.875,0.636363636363636,0,NA,0.696270957239211,14
"none",2.2,1,"PELT inflated",1,1,1,1,NA,0.0032692179933907,1
"none",2.2,1,"PELT AR1 approximate",0.333333333333333,1,0.5,0,NA,0.0591603780733593,3
"none",2.2,1,"DeCAFS AR1",1,1,1,1,NA,0.0032692179933907,1
"none",2.2,1,"SVP AR1Focus",1,1,1,1,NA,0.0032692179933907,1
"none",2.2,1,"SVP AR1Focus multiscale",0.0909090909090909,1,0.166666666666667,0,NA,0.391182096137377,11
"up",2.2,1,"PELT inflated",0.4,0.25,0.307692307692308,0,NA,1.54702510954681,5
"up",2.2,1,"PELT AR1 approximate",0.181818181818182,0.25,0.210526315789474,0,NA,1.43762101483779,11
"up",2.2,1,"DeCAFS AR1",0.333333333333333,0.25,0.285714285714286,0,NA,1.20098485580384,6
"up",2.2,1,"SVP AR1Focus",0.25,0.125,0.166666666666667,0,NA,2.13247855834947,4
"up",2.2,1,"SVP AR1Focus multiscale",0.266666666666667,0.5,0.347826086956522,0,NA,1.20458652920634,15
"updown",2.2,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,1.21589974360549,1
"updown",2.2,1,"PELT AR1 approximate",0.454545454545455,0.625,0.526315789473684,0,NA,0.857181874950367,11
"updown",2.2,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,1.21589974360549,1
"updown",2.2,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,1.21589974360549,1
"updown",2.2,1,"SVP AR1Focus multiscale",0.294117647058824,0.625,0.4,0,NA,1.19377352378762,17
"rand1",2.2,1,"PELT inflated",0.666666666666667,0.5,0.571428571428572,0,NA,0.657784949661984,6
"rand1",2.2,1,"PELT AR1 approximate",0.454545454545455,0.625,0.526315789473684,0,NA,1.17955101974016,11
"rand1",2.2,1,"DeCAFS AR1",0.833333333333333,0.625,0.714285714285714,0,NA,0.458597016001698,6
"rand1",2.2,1,"SVP AR1Focus",0.666666666666667,0.5,0.571428571428572,0,NA,0.585905111488684,6
"rand1",2.2,1,"SVP AR1Focus multiscale",0.428571428571429,0.75,0.545454545454545,0,NA,1.20335646816355,14
"none",2.3,1,"PELT inflated",1,1,1,1,NA,0.0487305983414839,1
"none",2.3,1,"PELT AR1 approximate",0.25,1,0.4,0,NA,0.484067361151587,4
"none",2.3,1,"DeCAFS AR1",0.333333333333333,1,0.5,0,NA,0.411118603794154,3
"none",2.3,1,"SVP AR1Focus",0.5,1,0.666666666666667,0,NA,0.156077540366325,2
"none",2.3,1,"SVP AR1Focus multiscale",0.0909090909090909,1,0.166666666666667,0,NA,0.892721039269865,11
"up",2.3,1,"PELT inflated",0.333333333333333,0.25,0.285714285714286,0,NA,0.997628224104951,6
"up",2.3,1,"PELT AR1 approximate",0.5,0.625,0.555555555555556,0,NA,0.466481826826937,10
"up",2.3,1,"DeCAFS AR1",0.5,0.375,0.428571428571429,0,NA,1.00454725928647,6
"up",2.3,1,"SVP AR1Focus",0.5,0.25,0.333333333333333,0,NA,2.21352300475132,4
"up",2.3,1,"SVP AR1Focus multiscale",0.5,0.625,0.555555555555556,0,NA,0.446199447147236,10
