"experiment","n","k","rep","method","time","detected"
"vary_n",765,0,9,"SVP BIC multiscale",0.0150000000000006,2
"vary_n",765,0,10,"PELT",0.000999999999999446,1
"vary_n",765,0,10,"SVP BIC",0.00100000000000122,1
"vary_n",765,0,10,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",765,0,10,"SVP BIC multiscale",0.016,1
"vary_n",765,0,11,"PELT",0.00100000000000122,1
"vary_n",765,0,11,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,11,"SVP BIC calibrated",0.0129999999999999,2
"vary_n",765,0,11,"SVP BIC multiscale",0.011000000000001,2
"vary_n",765,0,12,"PELT",0.000999999999999446,1
"vary_n",765,0,12,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,12,"SVP BIC calibrated",0.00100000000000122,1
"vary_n",765,0,12,"SVP BIC multiscale",0.0169999999999995,1
"vary_n",765,0,13,"PELT",0.000999999999999446,1
"vary_n",765,0,13,"SVP BIC",0.00100000000000122,1
"vary_n",765,0,13,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,13,"SVP BIC multiscale",0.0150000000000006,2
"vary_n",765,0,14,"PELT",0.00100000000000122,1
"vary_n",765,0,14,"SVP BIC",0.000999999999999446,1
"vary_n",765,0,14,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,14,"SVP BIC multiscale",0.016,1
"vary_n",765,0,15,"PELT",0.000999999999999446,1
"vary_n",765,0,15,"SVP BIC",0.00100000000000122,1
"vary_n",765,0,15,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",765,0,15,"SVP BIC multiscale",0.016,1
