"experiment","n","k","method","baseline_median","shortcut_median","median_speedup","matching_segment_counts","paired_rows"
"vary_k",10000,21,"SVP BIC calibrated",0.120499999999993,0.131000000000085,0.919847328243625,10,10
"vary_k",10000,21,"SVP BIC multiscale",0.124500000000012,0.132000000000062,0.943181818181466,10,10
"vary_k",10000,22,"PELT",0.00499999999999545,0.00499999999988177,1.00000000002274,10,10
"vary_k",10000,22,"SVP BIC",0.11650000000003,0.125999999999976,0.924603174603593,10,10
"vary_k",10000,22,"SVP BIC calibrated",0.117000000000019,0.12600000000009,0.928571428570916,10,10
"vary_k",10000,22,"SVP BIC multiscale",0.118999999999971,0.125499999999988,0.9482071713146,10,10
"vary_k",10000,23,"PELT",0.00499999999999545,0.00500000000010914,0.999999999977262,10,10
"vary_k",10000,23,"SVP BIC",0.112000000000023,0.118999999999915,0.941176470589101,10,10
"vary_k",10000,23,"SVP BIC calibrated",0.112000000000023,0.119500000000016,0.937238493723912,10,10
"vary_k",10000,23,"SVP BIC multiscale",0.115000000000009,0.119500000000017,0.962343096234252,10,10
"vary_k",10000,24,"PELT",0.00499999999999545,0.00499999999999546,0.999999999999999,10,10
"vary_k",10000,24,"SVP BIC",0.108000000000004,0.113500000000045,0.951541850219926,10,10
"vary_k",10000,24,"SVP BIC calibrated",0.108000000000004,0.112500000000068,0.959999999999455,10,10
"vary_k",10000,24,"SVP BIC multiscale",0.11099999999999,0.113500000000045,0.977973568281467,10,10
"vary_k",10000,25,"PELT",0.00450000000000728,0.00499999999988177,0.900000000022736,10,10
"vary_k",10000,25,"SVP BIC",0.104999999999989,0.110000000000014,0.954545454545242,10,10
"vary_k",10000,25,"SVP BIC calibrated",0.104999999999989,0.110499999999888,0.95022624434476,10,10
"vary_k",10000,25,"SVP BIC multiscale",0.107,0.110000000000014,0.972727272727149,10,10
"vary_k",10000,26,"PELT",0.00450000000000728,0.00499999999999546,0.900000000002273,10,10
"vary_k",10000,26,"SVP BIC",0.101499999999987,0.106499999999983,0.953051643192518,10,10
"vary_k",10000,26,"SVP BIC calibrated",0.100999999999999,0.105999999999995,0.952830188679281,10,10
"vary_k",10000,26,"SVP BIC multiscale",0.103999999999985,0.105999999999995,0.981132075471603,10,10
"vary_k",10000,27,"PELT",0.00450000000000728,0.00499999999999546,0.900000000002273,10,10
"vary_k",10000,27,"SVP BIC",0.0980000000000132,0.102000000000089,0.960784313724781,10,10
"vary_k",10000,27,"SVP BIC calibrated",0.0980000000000132,0.101999999999975,0.96078431372585,10,10
"vary_k",10000,27,"SVP BIC multiscale",0.0999999999999945,0.101500000000101,0.985221674875812,10,10
