"pattern","jump","method","new_F1","new_Precision","new_Recall","new_CorrectNumCP","new_MSE","new_NumSegments","old_F1","old_Precision","old_Recall","old_CorrectNumCP","old_MSE","old_NumSegments","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",2.4,"RFPOP",1,1,1,1,0.00217955257631302,1,0.951666666666667,0.933666666666667,1,0.89,0.0084501186817824,1.19,0.0483333333333333,0.0663333333333334,0,0.11,-0.00627056610546938,-0.19
"none",2.4,"SVP MedianMood",1,1,1,1,0.00845157178992531,1,0.993333333333333,0.99,1,0.98,0.00885781401638397,1.02,0.00666666666666671,0.01,0,0.02,-0.00040624222645866,-0.02
"none",2.4,"SVP Wilcoxon",1,1,1,1,0.00845157178992531,1,0.983333333333333,0.975,1,0.95,0.0110878272922747,1.05,0.0166666666666667,0.025,0,0.05,-0.00263625550234943,-0.05
"none",2.5,"PELT",0,0,0,0,11.035380806764,79.9,0.0251486513880807,0.0127372790706089,1,0,11.035380806764,79.9,-0.0251486513880807,-0.0127372790706089,-1,0,0,0
"none",2.5,"RFPOP",1,1,1,1,0.00247809685871618,1,0.940555555555556,0.919916666666667,1,0.87,0.0130883166233732,1.27,0.0594444444444444,0.0800833333333333,0,0.13,-0.010610219764657,-0.27
"none",2.5,"SVP MedianMood",0.99,0.99,0.99,0.99,0.0139091497784058,1.01,0.99,0.985,1,0.97,0.0145809925512927,1.03,0,0.005,-0.01,0.02,-0.000671842772886903,-0.02
"none",2.5,"SVP Wilcoxon",1,1,1,1,0.0137399045675631,1,0.996666666666667,0.995,1,0.99,0.0143124930422234,1.01,0.0033333333333333,0.005,0,0.01,-0.000572588474660312,-0.01
"none",2.6,"PELT",0,0,0,0,14.8601820432756,78.46,0.0256679975049571,0.013004256750828,1,0,14.8601820432756,78.46,-0.0256679975049571,-0.013004256750828,-1,0,0,0
"none",2.6,"RFPOP",0.99,0.99,0.99,0.99,0.00344829757769047,1.02,0.909666666666667,0.878333333333333,1,0.81,0.0153896118544516,1.36,0.0803333333333334,0.111666666666667,-0.01,0.18,-0.0119413142767612,-0.34
"none",2.6,"SVP MedianMood",1,1,1,1,0.0185517498398661,1,0.996666666666667,0.995,1,0.99,0.0195862747032658,1.01,0.0033333333333333,0.005,0,0.01,-0.00103452486339974,-0.01
"none",2.6,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.0195862747032658,1.01,0.993333333333333,0.99,1,0.98,0.0200711826336878,1.02,-0.0033333333333333,0,-0.01,0.01,-0.000484907930422003,-0.01
"none",2.7,"PELT",0,0,0,0,8.79263624722039,78.26,0.0258423018596899,0.0130946703158677,1,0,8.79263624722039,78.26,-0.0258423018596899,-0.0130946703158677,-1,0,0,0
"none",2.7,"RFPOP",1,1,1,1,0.00226320958575669,1,0.940666666666667,0.920833333333333,1,0.88,0.00929038741040569,1.24,0.0593333333333332,0.0791666666666667,0,0.12,-0.007027177824649,-0.24
"none",2.7,"SVP MedianMood",1,1,1,1,0.0107382044976003,1,1,1,1,1,0.0107382044976003,1,0,0,0,0,0,0
"none",2.7,"SVP Wilcoxon",1,1,1,1,0.0107382044976003,1,0.996666666666667,0.995,1,0.99,0.0113454117242329,1.01,0.0033333333333333,0.005,0,0.01,-0.000607207226632626,-0.01
"none",2.8,"PELT",0,0,0,0,10.7431451861687,78.45,0.0257985859314135,0.0130725915965889,1,0,10.7431451861687,78.45,-0.0257985859314135,-0.0130725915965889,-1,0,0,0
"none",2.8,"RFPOP",1,1,1,1,0.00241887779311541,1,0.958333333333333,0.94,1,0.89,0.00666081490208547,1.14,0.0416666666666666,0.06,0,0.11,-0.00424193710897006,-0.14
"none",2.8,"SVP MedianMood",0.99,0.99,0.99,0.99,0.0159952232471382,1.01,0.986666666666667,0.98,1,0.96,0.0170206661854136,1.04,0.0033333333333333,0.01,-0.01,0.03,-0.00102544293827548,-0.03
"none",2.8,"SVP Wilcoxon",1,1,1,1,0.0156799133620358,1,0.996666666666667,0.995,1,0.99,0.0159952232471382,1.01,0.0033333333333333,0.005,0,0.01,-0.000315309885102383,-0.01
"none",2.9,"PELT",0,0,0,0,8.57085036598871,76.57,0.0265887882136291,0.0134792547671639,1,0,8.57085036598871,76.57,-0.0265887882136291,-0.0134792547671639,-1,0,0,0
"none",2.9,"RFPOP",1,1,1,1,0.00232300676685182,1,0.969666666666667,0.96,1,0.94,0.00575286305461358,1.13,0.0303333333333333,0.04,0,0.06,-0.00342985628776175,-0.13
"none",2.9,"SVP MedianMood",1,1,1,1,0.0112681899909794,1,1,1,1,1,0.0112681899909794,1,0,0,0,0,0,0
"none",2.9,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.0117227064415367,1.01,0.99,0.985,1,0.97,0.0129614783638318,1.03,0,0.005,-0.01,0.02,-0.00123877192229511,-0.02
"none",3,"PELT",0,0,0,0,8.92783908475144,78.62,0.025723443350978,0.0130338731268445,1,0,8.92783908475144,78.62,-0.025723443350978,-0.0130338731268445,-1,0,0,0
"none",3,"RFPOP",1,1,1,1,0.00228481298549876,1,0.955666666666667,0.941166666666667,1,0.91,0.0105487264199818,1.19,0.0443333333333333,0.0588333333333334,0,0.0900000000000001,-0.00826391343448301,-0.19
"none",3,"SVP MedianMood",1,1,1,1,0.0127468081205231,1,0.993333333333333,0.99,1,0.98,0.0129991659859696,1.02,0.00666666666666671,0.01,0,0.02,-0.000252357865446461,-0.02
"none",3,"SVP Wilcoxon",1,1,1,1,0.0127468081205231,1,0.996666666666667,0.995,1,0.99,0.0145733652889785,1.01,0.0033333333333333,0.005,0,0.01,-0.00182655716845533,-0.01
