"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"updown",1.1,1,"PELT",0.75,0.75,0.75,1,0.0357605971192669,8
"updown",1.1,1,"SVP",0.75,0.75,0.75,1,0.0357605971192669,8
"updown",1.1,1,"SVP (BIC)",0.75,0.75,0.75,1,0.0357605971192669,8
"updown",1.1,1,"SVP FOCUS TRUE/TRUE c=1.8",0.75,0.75,0.75,1,0.0357605971192669,8
"rand1",1.1,1,"PELT",0.833333333333333,0.625,0.714285714285714,0,0.0206851458297875,6
"rand1",1.1,1,"SVP",0.833333333333333,0.625,0.714285714285714,0,0.0206851458297875,6
"rand1",1.1,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.0179842032391196,5
"rand1",1.1,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.0179842032391196,5
"none",1.2,1,"PELT",1,1,1,1,0.000116383662858685,1
"none",1.2,1,"SVP",1,1,1,1,0.000116383662858685,1
"none",1.2,1,"SVP (BIC)",1,1,1,1,0.000116383662858685,1
"none",1.2,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000116383662858685,1
"up",1.2,1,"PELT",0.875,0.875,0.875,1,0.0204890527877295,8
"up",1.2,1,"SVP",0.875,0.875,0.875,1,0.0204890527877295,8
"up",1.2,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0204890527877295,8
"up",1.2,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0204890527877295,8
"updown",1.2,1,"PELT",1,1,1,1,0.0169871725018921,8
"updown",1.2,1,"SVP",1,1,1,1,0.0169871725018921,8
"updown",1.2,1,"SVP (BIC)",1,1,1,1,0.0169871725018921,8
"updown",1.2,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.0169871725018921,8
"rand1",1.2,1,"PELT",0.8,0.5,0.615384615384615,0,0.0373598820185435,5
"rand1",1.2,1,"SVP",0.8,0.5,0.615384615384615,0,0.0373598820185435,5
"rand1",1.2,1,"SVP (BIC)",0.8,0.5,0.615384615384615,0,0.0373598820185435,5
"rand1",1.2,1,"SVP FOCUS TRUE/TRUE c=1.8",0.8,0.5,0.615384615384615,0,0.0373598820185435,5
"none",1.3,1,"PELT",1,1,1,1,0.000933888563611584,1
"none",1.3,1,"SVP",1,1,1,1,0.000933888563611584,1
"none",1.3,1,"SVP (BIC)",1,1,1,1,0.000933888563611584,1
"none",1.3,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000933888563611584,1
"up",1.3,1,"PELT",0.875,0.875,0.875,1,0.0222868261689027,8
"up",1.3,1,"SVP",0.875,0.875,0.875,1,0.0222868261689027,8
"up",1.3,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0222868261689027,8
"up",1.3,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0222868261689027,8
"updown",1.3,1,"PELT",0.875,0.875,0.875,1,0.0196804278916282,8
"updown",1.3,1,"SVP",0.875,0.875,0.875,1,0.0196804278916282,8
"updown",1.3,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0196804278916282,8
"updown",1.3,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0196804278916282,8
"rand1",1.3,1,"PELT",1,0.75,0.857142857142857,0,0.0234770334991459,6
"rand1",1.3,1,"SVP",1,0.75,0.857142857142857,0,0.0234770334991459,6
"rand1",1.3,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.0284086361273105,5
"rand1",1.3,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.75,0.857142857142857,0,0.0234770334991459,6
"none",1.4,1,"PELT",1,1,1,1,0.00138161413912737,1
"none",1.4,1,"SVP",1,1,1,1,0.00138161413912737,1
"none",1.4,1,"SVP (BIC)",1,1,1,1,0.00138161413912737,1
"none",1.4,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.00138161413912737,1
"up",1.4,1,"PELT",0.625,0.625,0.625,1,0.0419001307110943,8
"up",1.4,1,"SVP",0.625,0.625,0.625,1,0.0419001307110943,8
"up",1.4,1,"SVP (BIC)",0.625,0.625,0.625,1,0.0419001307110943,8
"up",1.4,1,"SVP FOCUS TRUE/TRUE c=1.8",0.625,0.625,0.625,1,0.0419001307110943,8
"updown",1.4,1,"PELT",0.875,0.875,0.875,1,0.0202435448349516,8
"updown",1.4,1,"SVP",0.875,0.875,0.875,1,0.0202435448349516,8
"updown",1.4,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0202435448349516,8
"updown",1.4,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0202435448349516,8
"rand1",1.4,1,"PELT",1,0.625,0.769230769230769,0,0.0330353333145086,5
"rand1",1.4,1,"SVP",1,0.625,0.769230769230769,0,0.0330353333145086,5
"rand1",1.4,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.0330353333145086,5
"rand1",1.4,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.0330353333145086,5
"none",1.5,1,"PELT",1,1,1,1,0.00138190355497059,1
"none",1.5,1,"SVP",1,1,1,1,0.00138190355497059,1
"none",1.5,1,"SVP (BIC)",1,1,1,1,0.00138190355497059,1
"none",1.5,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.00138190355497059,1
"up",1.5,1,"PELT",1,1,1,1,0.0193230399896068,8
"up",1.5,1,"SVP",1,1,1,1,0.0193230399896068,8
"up",1.5,1,"SVP (BIC)",1,1,1,1,0.0193230399896068,8
"up",1.5,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.0193230399896068,8
"updown",1.5,1,"PELT",0.875,0.875,0.875,1,0.0258817787009105,8
"updown",1.5,1,"SVP",0.875,0.875,0.875,1,0.0258817787009105,8
"updown",1.5,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0258817787009105,8
"updown",1.5,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0258817787009105,8
"rand1",1.5,1,"PELT",0.833333333333333,0.625,0.714285714285714,0,0.0224469889936348,6
"rand1",1.5,1,"SVP",1,0.625,0.769230769230769,0,0.0345127161604137,5
"rand1",1.5,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.0345127161604137,5
"rand1",1.5,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.0345127161604137,5
"none",1.6,1,"PELT",1,1,1,1,0.000846652539406586,1
"none",1.6,1,"SVP",1,1,1,1,0.000846652539406586,1
"none",1.6,1,"SVP (BIC)",1,1,1,1,0.000846652539406586,1
"none",1.6,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000846652539406586,1
"up",1.6,1,"PELT",0.875,0.875,0.875,1,0.0226103904793914,8
"up",1.6,1,"SVP",0.875,0.875,0.875,1,0.0226103904793914,8
"up",1.6,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0226103904793914,8
"up",1.6,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0226103904793914,8
"updown",1.6,1,"PELT",0.875,0.875,0.875,1,0.0351343328435437,8
"updown",1.6,1,"SVP",0.875,0.875,0.875,1,0.0351343328435437,8
"updown",1.6,1,"SVP (BIC)",0.875,0.875,0.875,1,0.0351343328435437,8
"updown",1.6,1,"SVP FOCUS TRUE/TRUE c=1.8",0.875,0.875,0.875,1,0.0351343328435437,8
"rand1",1.6,1,"PELT",0.833333333333333,0.625,0.714285714285714,0,0.0241161274879844,6
"rand1",1.6,1,"SVP",0.833333333333333,0.625,0.714285714285714,0,0.0241161274879844,6
"rand1",1.6,1,"SVP (BIC)",0.833333333333333,0.625,0.714285714285714,0,0.0241161274879844,6
"rand1",1.6,1,"SVP FOCUS TRUE/TRUE c=1.8",0.833333333333333,0.625,0.714285714285714,0,0.0241161274879844,6
"none",1.7,1,"PELT",1,1,1,1,0.000364846917193197,1
"none",1.7,1,"SVP",1,1,1,1,0.000364846917193197,1
"none",1.7,1,"SVP (BIC)",1,1,1,1,0.000364846917193197,1
"none",1.7,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000364846917193197,1
"up",1.7,1,"PELT",0.75,0.75,0.75,1,0.0466223672047567,8
"up",1.7,1,"SVP",0.75,0.75,0.75,1,0.0466223672047567,8
"up",1.7,1,"SVP (BIC)",0.75,0.75,0.75,1,0.0466223672047567,8
"up",1.7,1,"SVP FOCUS TRUE/TRUE c=1.8",0.75,0.75,0.75,1,0.0466223672047567,8
"updown",1.7,1,"PELT",1,1,1,1,0.0135008676463418,8
"updown",1.7,1,"SVP",1,1,1,1,0.0135008676463418,8
"updown",1.7,1,"SVP (BIC)",1,1,1,1,0.0135008676463418,8
"updown",1.7,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.0135008676463418,8
"rand1",1.7,1,"PELT",0.857142857142857,0.75,0.8,0,0.033798498033443,7
"rand1",1.7,1,"SVP",1,0.625,0.769230769230769,0,0.034496837225943,5
"rand1",1.7,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.034496837225943,5
"rand1",1.7,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.034496837225943,5
"none",1.8,1,"PELT",1,1,1,1,4.78350269184952e-05,1
"none",1.8,1,"SVP",1,1,1,1,4.78350269184952e-05,1
"none",1.8,1,"SVP (BIC)",1,1,1,1,4.78350269184952e-05,1
"none",1.8,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,4.78350269184952e-05,1
"up",1.8,1,"PELT",1,1,1,1,0.0221296632929708,8
"up",1.8,1,"SVP",1,1,1,1,0.0221296632929708,8
"up",1.8,1,"SVP (BIC)",1,1,1,1,0.0221296632929708,8
"up",1.8,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.0221296632929708,8
"updown",1.8,1,"PELT",1,1,1,1,0.0270808436239197,8
"updown",1.8,1,"SVP",1,1,1,1,0.0270808436239197,8
"updown",1.8,1,"SVP (BIC)",1,1,1,1,0.0270808436239197,8
"updown",1.8,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.0270808436239197,8
"rand1",1.8,1,"PELT",0.833333333333333,0.625,0.714285714285714,0,0.026439790047392,6
"rand1",1.8,1,"SVP",0.833333333333333,0.625,0.714285714285714,0,0.026439790047392,6
"rand1",1.8,1,"SVP (BIC)",1,0.625,0.769230769230769,0,0.042081528743607,5
"rand1",1.8,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.625,0.769230769230769,0,0.0555370897870657,5
"none",1.9,1,"PELT",1,1,1,1,1.29698360643284e-05,1
"none",1.9,1,"SVP",1,1,1,1,1.29698360643284e-05,1
"none",1.9,1,"SVP (BIC)",1,1,1,1,1.29698360643284e-05,1
"none",1.9,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,1.29698360643284e-05,1
"up",1.9,1,"PELT",1,1,1,1,0.00943010000007065,8
"up",1.9,1,"SVP",1,1,1,1,0.00943010000007065,8
"up",1.9,1,"SVP (BIC)",1,1,1,1,0.00943010000007065,8
"up",1.9,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.00943010000007065,8
"updown",1.9,1,"PELT",0.75,0.75,0.75,1,0.0409862450822414,8
"updown",1.9,1,"SVP",0.75,0.75,0.75,1,0.0409862450822414,8
"updown",1.9,1,"SVP (BIC)",0.75,0.75,0.75,1,0.0409862450822414,8
"updown",1.9,1,"SVP FOCUS TRUE/TRUE c=1.8",0.75,0.75,0.75,1,0.0409862450822414,8
"rand1",1.9,1,"PELT",0.714285714285714,0.625,0.666666666666667,0,0.0310939444097301,7
"rand1",1.9,1,"SVP",0.714285714285714,0.625,0.666666666666667,0,0.0310939444097301,7
