"experiment","n","k","rep","method","time","detected"
"vary_k",2000,2,3,"SVP BIC",0.00799999999999557,17
"vary_k",2000,2,3,"SVP AR1",0.248999999999995,3
"vary_k",2000,2,3,"SVP AR1 estimated rho",0.266999999999996,3
"vary_k",2000,2,4,"SVP BIC",0.00800000000000267,16
"vary_k",2000,2,4,"SVP AR1",0.25,3
"vary_k",2000,2,4,"SVP AR1 estimated rho",0.247999999999998,3
"vary_k",2000,2,5,"SVP BIC",0.00900000000000034,13
"vary_k",2000,2,5,"SVP AR1",0.245999999999995,3
"vary_k",2000,2,5,"SVP AR1 estimated rho",0.256,3
"vary_k",2000,3,1,"SVP BIC",0.0069999999999979,19
"vary_k",2000,3,1,"SVP AR1",0.144999999999996,4
"vary_k",2000,3,1,"SVP AR1 estimated rho",0.142999999999994,4
"vary_k",2000,3,2,"SVP BIC",0.0069999999999979,19
"vary_k",2000,3,2,"SVP AR1",0.149999999999999,4
"vary_k",2000,3,2,"SVP AR1 estimated rho",0.147999999999996,4
"vary_k",2000,3,3,"SVP BIC",0.0069999999999979,17
"vary_k",2000,3,3,"SVP AR1",0.146000000000001,4
"vary_k",2000,3,3,"SVP AR1 estimated rho",0.149999999999999,4
"vary_k",2000,3,4,"SVP BIC",0.0069999999999979,20
"vary_k",2000,3,4,"SVP AR1",0.149999999999999,4
"vary_k",2000,3,4,"SVP AR1 estimated rho",0.158999999999999,4
"vary_k",2000,3,5,"SVP BIC",0.00999999999999801,13
"vary_k",2000,3,5,"SVP AR1",0.148000000000003,4
"vary_k",2000,3,5,"SVP AR1 estimated rho",0.152999999999999,4
"vary_k",2000,4,1,"SVP BIC",0.0069999999999979,17
"vary_k",2000,4,1,"SVP AR1",0.0989999999999966,5
"vary_k",2000,4,1,"SVP AR1 estimated rho",0.0990000000000038,5
"vary_k",2000,4,2,"SVP BIC",0.0069999999999979,17
"vary_k",2000,4,2,"SVP AR1",0.0960000000000036,5
"vary_k",2000,4,2,"SVP AR1 estimated rho",0.095000000000006,5
"vary_k",2000,4,3,"SVP BIC",0.00600000000000023,21
"vary_k",2000,4,3,"SVP AR1",0.100000000000001,5
"vary_k",2000,4,3,"SVP AR1 estimated rho",0.101999999999997,5
"vary_k",2000,4,4,"SVP BIC",0.0069999999999979,23
"vary_k",2000,4,4,"SVP AR1",0.0949999999999989,5
